review_user_id,anomaly_score,anomaly_type,anomaly_evidence,suggested_action,event_count,view_count,cart_count,remove_from_cart_count,purchase_count,search_count,unique_items,active_days,price_signal_total,conversion_rate,cart_to_purchase_rate,cluster
review_user_001,0.29067,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,792,527,73,43,29,120,68,59,1238.0,0.05502846299810247,0.3972602739726027,4
review_user_002,0.28931,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,516,319,45,30,30,92,58,28,645.0,0.09404388714733543,0.6666666666666666,1
review_user_003,0.27736,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,1083,0,302,99,34,648,254,45,1618.0,0.0,0.11258278145695365,4
review_user_004,0.27495,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,1749,0,664,422,19,644,612,37,885.0,0.0,0.0286144578313253,4
review_user_005,0.27468,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,1144,0,526,318,125,175,434,66,3312.0,0.0,0.2376425855513308,4
review_user_006,0.27335,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,759,620,10,8,25,96,29,32,860.0,0.04032258064516129,2.5,1
review_user_007,0.27259,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,1012,0,369,227,76,340,210,62,1210.0,0.0,0.20596205962059622,4
review_user_008,0.26962,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,1384,1128,30,25,11,190,39,56,565.0,0.00975177304964539,0.36666666666666664,4
review_user_009,0.2675,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,595,462,57,17,31,28,46,51,875.0,0.0670995670995671,0.543859649122807,1
review_user_010,0.26485,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,997,787,52,43,4,111,40,62,201.0,0.005082592121982211,0.07692307692307693,4
review_user_011,0.26438,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,2017,1862,39,29,10,77,31,128,338.0,0.0053705692803437165,0.2564102564102564,4
review_user_012,0.26432,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,323,0,132,71,39,81,59,27,2061.0,0.0,0.29545454545454547,1
review_user_013,0.26411,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,672,496,38,27,9,102,33,23,326.0,0.018145161290322582,0.23684210526315788,1
review_user_014,0.26301,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,494,0,223,157,22,92,165,33,659.0,0.0,0.09865470852017937,4
review_user_015,0.26222,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,331,0,77,51,38,165,65,22,2009.0,0.0,0.4935064935064935,1
review_user_016,0.2604,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,497,416,25,11,22,23,21,31,1297.0,0.052884615384615384,0.88,1
review_user_017,0.25985,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,340,0,91,53,25,171,56,31,1210.0,0.0,0.27472527472527475,1
review_user_018,0.25959,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,441,0,95,78,11,257,80,29,648.0,0.0,0.11578947368421053,1
review_user_019,0.25906,remove_from_cart_anomaly,high remove_from_cart_count,"Inspect product availability, pricing changes, and session-level shopping path.",870,756,46,28,10,30,36,31,70.0,0.013227513227513227,0.21739130434782608,1
review_user_020,0.25777,high_purchase_signal_anomaly,high purchase_count; high price_signal_total,Review high-purchase and high-price-signal behavior for retention and recommendation opportunities.,259,0,101,26,55,77,76,7,612.0,0.0,0.5445544554455446,1
